time,P,G(i),H_sun,T2m,WS10m,Int
20140105:0409,0.0,0.0,0.0,15.15,3.49,0.0
20140105:0509,0.0,0.0,0.0,15.14,3.67,0.0
20140105:0609,2094060.0,168.33,6.35,15.12,3.86,0.0
20140105:0709,6377890.0,458.26,15.97,15.2,3.03,0.0
20140105:0809,9527310.0,690.48,23.94,15.27,2.21,0.0
20140105:0909,11373000.0,847.2,29.58,15.34,1.38,0.0
20140105:1009,10236550.0,751.42,32.21,15.46,1.84,0.0
20140105:1109,11478910.0,844.94,31.39,15.58,2.31,0.0
20140105:1209,10085250.0,730.59,27.27,15.7,2.77,0.0
20140105:1309,7545960.0,542.96,20.44,15.69,2.48,0.0
20140105:1409,4572150.0,337.51,11.62,15.69,2.19,0.0
20140105:1509,0.0,0.0,0.0,15.68,1.9,0.0
20140105:1609,0.0,0.0,0.0,15.56,1.54,0.0
20140105:1709,0.0,0.0,0.0,15.44,1.18,0.0
20140105:1809,0.0,0.0,0.0,15.31,0.81,0.0
20140105:1909,0.0,0.0,0.0,15.24,0.72,0.0
20140105:2009,0.0,0.0,0.0,15.17,0.62,0.0
20140105:2109,0.0,0.0,0.0,15.09,0.52,0.0
20140105:2209,0.0,0.0,0.0,15.1,0.87,0.0
20140105:2309,0.0,0.0,0.0,15.1,1.21,0.0
20140106:0009,0.0,0.0,0.0,15.11,1.56,0.0
20140106:0109,0.0,0.0,0.0,15.1,2.17,0.0
20140106:0209,0.0,0.0,0.0,15.09,2.77,0.0
20140106:0309,0.0,0.0,0.0,15.08,3.38,0.0
20140106:0409,0.0,0.0,0.0,15.11,3.49,0.0
20140106:0509,0.0,0.0,0.0,15.14,3.59,0.0
20140106:0609,190910.0,25.54,6.36,15.17,3.7,0.0
20140106:0709,2222410.0,170.77,15.99,15.29,3.83,0.0
20140106:0809,4506360.0,325.38,23.99,15.4,3.95,0.0
20140106:0909,4740790.0,342.23,29.66,15.51,4.08,0.0
20140106:1009,4466070.0,324.21,32.32,15.65,4.04,0.0
20140106:1109,8600640.0,614.6,31.52,15.79,3.99,0.0
