time,P,G(i),H_sun,T2m,WS10m,Int
20140717:0609,7254000.0,389.63,32.05,23.09,0.95,0.0
20140717:0709,11760500.0,607.43,44.24,23.1,1.63,0.0
20140717:0809,15367500.0,795.28,56.26,23.1,2.3,0.0
20140717:0909,17709000.0,920.68,67.39,23.11,2.98,0.0
20140717:1009,18818750.0,982.83,75.05,23.32,3.27,0.0
20140717:1109,18577250.0,966.25,73.25,23.53,3.57,0.0
20140717:1209,17280000.0,889.29,63.91,23.75,3.86,0.0
20140717:1309,14382000.0,733.15,52.35,23.68,3.64,0.0
20140717:1409,10526250.0,538.69,40.23,23.61,3.42,0.0
20140717:1509,5698000.0,315.92,28.04,23.54,3.2,0.0
20140717:1609,1278000.0,104.35,16.07,23.41,2.58,0.0
20140717:1709,221750.0,22.65,4.52,23.28,1.96,0.0
20140717:1809,0.0,0.0,0.0,23.14,1.34,0.0
20140717:1909,0.0,0.0,0.0,23.04,1.55,0.0
20140717:2009,0.0,0.0,0.0,22.94,1.77,0.0
20140717:2109,0.0,0.0,0.0,22.85,1.99,0.0
20140717:2209,0.0,0.0,0.0,22.87,1.85,0.0
20140717:2309,0.0,0.0,0.0,22.9,1.71,0.0
20140718:0009,0.0,0.0,0.0,22.93,1.57,0.0
20140718:0109,0.0,0.0,0.0,22.81,1.69,0.0
20140718:0209,0.0,0.0,0.0,22.69,1.8,0.0
20140718:0309,0.0,0.0,0.0,22.57,1.92,0.0
20140718:0409,631500.0,46.17,8.15,22.62,1.98,0.0
20140718:0509,2553500.0,169.79,19.87,22.67,2.04,0.0
20140718:0609,7301000.0,388.15,31.94,22.72,2.1,0.0
20140718:0709,11878500.0,607.91,44.14,22.7,2.34,0.0
20140718:0809,15382250.0,791.62,56.15,22.68,2.57,0.0
20140718:0909,17723500.0,921.39,67.26,22.66,2.81,0.0
20140718:1009,18733250.0,978.99,74.88,22.89,3.04,0.0
20140718:1109,18727750.0,976.11,73.11,23.13,3.27,0.0
20140718:1209,17279250.0,891.07,63.82,23.37,3.5,0.0
20140718:1309,14422250.0,734.81,52.28,23.44,3.59,0.0
20140718:1409,10520750.0,537.27,40.16,23.52,3.67,0.0
20140718:1509,5710000.0,315.62,27.97,23.59,3.75,0.0
20140718:1609,1309750.0,105.08,15.99,23.51,3.02,0.0
20140718:1709,235500.0,23.52,4.44,23.42,2.28,0.0
20140718:1809,0.0,0.0,0.0,23.33,1.54,0.0
20140718:1909,0.0,0.0,0.0,23.25,1.65,0.0
20140718:2009,0.0,0.0,0.0,23.17,1.75,0.0
20140718:2109,0.0,0.0,0.0,23.1,1.85,0.0
20140718:2209,0.0,0.0,0.0,23.15,1.81,0.0
20140718:2309,0.0,0.0,0.0,23.2,1.77,0.0
20140719:0009,0.0,0.0,0.0,23.26,1.72,0.0
20140719:0109,0.0,0.0,0.0,23.14,1.71,0.0
20140719:0209,0.0,0.0,0.0,23.03,1.7,0.0
20140719:0309,0.0,0.0,0.0,22.92,1.68,0.0
20140719:0409,630250.0,46.17,8.03,22.95,1.72,0.0
20140719:0509,2568000.0,168.88,19.76,22.99,1.77,0.0
20140719:0609,7225750.0,385.12,31.84,23.02,1.81,0.0
20140719:0709,11842000.0,605.45,44.04,22.99,2.6,0.0
20140719:0809,15571500.0,795.62,56.04,22.97,3.39,0.0
20140719:0909,17986000.0,922.16,67.12,22.94,4.18,0.0
20140719:1009,18995000.0,984.37,74.7,23.18,3.89,0.0
20140719:1109,18703250.0,972.38,72.97,23.42,3.59,0.0
20140719:1209,17146500.0,887.42,63.72,23.67,3.3,0.0
20140719:1309,14338250.0,735.53,52.2,23.72,3.0,0.0
20140719:1409,10490750.0,539.89,40.09,23.78,2.7,0.0
20140719:1509,5684500.0,316.04,27.9,23.83,2.4,0.0
20140719:1609,1311000.0,105.29,15.91,23.73,2.0,0.0
20140719:1709,221250.0,22.65,4.35,23.63,1.59,0.0
20140719:1809,0.0,0.0,0.0,23.53,1.19,0.0
20140719:1909,0.0,0.0,0.0,23.42,1.37,0.0
20140719:2009,0.0,0.0,0.0,23.31,1.54,0.0
20140719:2109,0.0,0.0,0.0,23.2,1.72,0.0
20140719:2209,0.0,0.0,0.0,23.23,1.68,0.0
20140719:2309,0.0,0.0,0.0,23.27,1.63,0.0
20140720:0009,0.0,0.0,0.0,23.31,1.59,0.0
20140720:0109,0.0,0.0,0.0,23.25,1.6,0.0
20140720:0209,0.0,0.0,0.0,23.19,1.61,0.0
20140720:0309,0.0,0.0,0.0,23.14,1.63,0.0
20140720:0409,565750.0,42.69,7.92,23.17,1.82,0.0
20140720:0509,2633250.0,168.48,19.65,23.21,2.0,0.0
20140720:0609,7201000.0,382.98,31.74,23.25,2.19,0.0
20140720:0709,11249750.0,573.9,43.93,23.2,2.97,0.0
20140720:0809,13930250.0,708.72,55.93,23.15,3.76,0.0
20140720:0909,16123500.0,821.64,66.99,23.1,4.54,0.0
20140720:1009,15547500.0,794.66,74.52,23.35,4.46,0.0
20140720:1109,17242750.0,886.43,72.81,23.61,4.37,0.0
20140720:1209,16681250.0,854.74,63.62,23.87,4.29,0.0
20140720:1309,14400000.0,732.93,52.12,24.03,4.06,0.0
20140720:1409,10522500.0,538.51,40.01,24.19,3.82,0.0
20140720:1509,5715750.0,317.21,27.82,24.34,3.59,0.0
20140720:1609,1313500.0,105.5,15.83,24.27,3.21,0.0
20140720:1709,207000.0,21.78,4.25,24.2,2.83,0.0
20140720:1809,0.0,0.0,0.0,24.13,2.46,0.0
20140720:1909,0.0,0.0,0.0,24.08,2.5,0.0
20140720:2009,0.0,0.0,0.0,24.03,2.54,0.0
20140720:2109,0.0,0.0,0.0,23.98,2.58,0.0
20140720:2209,0.0,0.0,0.0,24.1,2.58,0.0
20140720:2309,0.0,0.0,0.0,24.22,2.59,0.0
20140721:0009,0.0,0.0,0.0,24.35,2.59,0.0
20140721:0109,0.0,0.0,0.0,24.24,2.58,0.0
20140721:0209,0.0,0.0,0.0,24.13,2.57,0.0
20140721:0309,0.0,0.0,0.0,24.02,2.55,0.0
20140721:0409,595000.0,44.43,7.8,24.07,2.6,0.0
20140721:0509,2554750.0,168.01,19.54,24.13,2.64,0.0
20140721:0609,7253000.0,386.82,31.63,24.19,2.69,0.0
20140721:0709,11800500.0,605.68,43.83,24.14,2.79,0.0
20140721:0809,15223500.0,786.08,55.81,24.08,2.88,0.0
20140721:0909,17617250.0,920.34,66.84,24.03,2.98,0.0
20140721:1009,18786000.0,987.22,74.33,24.25,3.19,0.0
20140721:1109,18612500.0,975.23,72.65,24.47,3.4,0.0
20140721:1209,17167250.0,890.2,63.51,24.69,3.61,0.0
20140721:1309,14313750.0,737.04,52.03,24.81,3.16,0.0
20140721:1409,10421250.0,539.18,39.93,24.93,2.71,0.0
20140721:1509,5651000.0,316.05,27.74,25.04,2.26,0.0
20140721:1609,1310500.0,105.28,15.74,24.87,2.15,0.0
20140721:1709,192750.0,20.91,4.15,24.7,2.04,0.0
20140721:1809,0.0,0.0,0.0,24.52,1.93,0.0
20140721:1909,0.0,0.0,0.0,24.33,2.0,0.0
20140721:2009,0.0,0.0,0.0,24.14,2.08,0.0
20140721:2109,0.0,0.0,0.0,23.95,2.15,0.0
20140721:2209,0.0,0.0,0.0,23.94,2.14,0.0
20140721:2309,0.0,0.0,0.0,23.93,2.13,0.0
20140722:0009,0.0,0.0,0.0,23.93,2.12,0.0
20140722:0109,0.0,0.0,0.0,23.74,2.11,0.0
20140722:0209,0.0,0.0,0.0,23.56,2.09,0.0
20140722:0309,0.0,0.0,0.0,23.38,2.07,0.0
20140722:0409,581000.0,43.56,7.67,23.45,2.4,0.0
20140722:0509,2529000.0,167.28,19.43,23.52,2.72,0.0
20140722:0609,7236250.0,383.81,31.52,23.59,3.05,0.0
20140722:0709,11799500.0,601.12,43.72,23.58,3.39,0.0
20140722:0809,15473500.0,790.34,55.7,23.56,3.74,0.0
20140722:0909,17808000.0,916.65,66.7,23.55,4.08,0.0
20140722:1009,19050500.0,983.56,74.14,23.78,4.56,0.0
20140722:1109,18901750.0,971.57,72.49,24.01,5.04,0.0
20140722:1209,17511000.0,891.17,63.39,24.25,5.52,0.0
20140722:1309,14620500.0,737.9,51.94,24.26,5.46,0.0
20140722:1409,10632000.0,539.89,39.84,24.27,5.4,0.0
20140722:1509,5732500.0,315.75,27.65,24.28,5.34,0.0
20140722:1609,1322250.0,105.46,15.64,24.15,4.35,0.0
20140722:1709,193750.0,20.91,4.04,24.02,3.37,0.0
20140722:1809,0.0,0.0,0.0,23.89,2.39,0.0
20140722:1909,0.0,0.0,0.0,23.76,2.34,0.0
20140722:2009,0.0,0.0,0.0,23.63,2.29,0.0
20140722:2109,0.0,0.0,0.0,23.51,2.25,0.0
20140722:2209,0.0,0.0,0.0,23.54,2.16,0.0
20140722:2309,0.0,0.0,0.0,23.57,2.06,0.0
20140723:0009,0.0,0.0,0.0,23.6,1.97,0.0
20140723:0109,0.0,0.0,0.0,23.41,2.04,0.0
20140723:0209,0.0,0.0,0.0,23.22,2.11,0.0
20140723:0309,0.0,0.0,0.0,23.03,2.18,0.0
20140723:0409,550750.0,41.82,7.55,23.02,2.43,0.0
20140723:0509,2479500.0,167.27,19.32,23.01,2.68,0.0
20140723:0609,7337500.0,388.76,31.41,23.0,2.92,0.0
20140723:0709,12059750.0,611.55,43.61,23.02,3.64,0.0
20140723:0809,15679000.0,794.65,55.58,23.04,4.36,0.0
20140723:0909,18115250.0,922.26,66.55,23.06,5.08,0.0
